source|text|created_at
Twitter for iPhone|We will never forget the 241 American service members killed by Hizballah in Beirut. They died in service to our nation. https://t.co/BaQZDA3s2e|10-23-2017 23:18:01
Twitter for iPhone|I had a very respectful conversation with the widow of Sgt. La David Johnson, and spoke his name from beginning, without hesitation!|10-23-2017 12:30:10
Twitter for iPhone|Two dozen NFL players continue to kneel during the National Anthem, showing total disrespect to our Flag &amp; Country.  No leadership in NFL!|10-23-2017 11:53:08
Twitter for iPhone|There will be NO change to your 401(k). This has always been a great and popular middle class tax break that works, and it stays!|10-23-2017 11:42:56
Twitter for iPhone|It is finally sinking through. 46% OF PEOPLE BELIEVE MAJOR NATIONAL NEWS ORGS FABRICATE STORIES ABOUT ME. FAKE NEWS, even worse! Lost cred.|10-22-2017 12:08:47
Twitter for iPhone|Wacky Congresswoman Wilson is the gift that keeps on giving for the Republican Party, a disaster for Dems. You watch her in action &amp; vote R!|10-22-2017 12:02:31
Twitter for iPhone|Doing interview today with Maria Bartiromo at 10:00 A.M. on @FoxNews - ENJOY!|10-22-2017 11:50:39
Twitter for iPhone|...2nd Amendment, Strong Military, ISIS, historic VA improvement, Supreme Court Justice, Record Stock Market, lowest unemployment in 17 yrs!|10-22-2017 00:09:21
Twitter for iPhone|...9 months than this Administration. Over 50 Legislation approvals, massive regulation cuts, energy freedom, pipelines, border security....|10-22-2017 00:02:45
Twitter for iPhone|I agree getting Tax Cuts approved  is important (we will also get HealthCare), but perhaps no Administration has done more in its first.....|10-21-2017 23:57:41
Twitter for iPhone|Just out, but lightly reported: "Fewest jobless claims since 1973 show firm U.S. Job Market" Lowest since March 1973. @bpolitics|10-21-2017 22:51:57
Twitter for iPhone|Crooked Hillary Clinton spent hundreds of millions of dollars more on Presidential Election than I did. Facebook was on her side, not mine!|10-21-2017 21:21:08
Twitter for iPhone|Keep hearing about "tiny" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN, ABC, NBC &amp; CBS?|10-21-2017 20:06:00
Twitter for iPhone|Officials behind the now discredited "Dossier" plead the Fifth. Justice Department and/or FBI should immediately release who paid for it.|10-21-2017 19:59:23
Twitter for iPhone|“Trump hails liberation of Raqqa as critical breakthrough in anti-ISIS campaign” https://t.co/2eoYXJB7h0|10-21-2017 16:50:33
Twitter for iPhone|Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!|10-21-2017 13:14:33
Twitter for iPhone|People get what is going on! https://t.co/Pdg7VqQv6M|10-21-2017 13:08:17
Twitter for iPhone|RT @IamVicky4Trump: TUNE IN: Maria Bartiromo Has an Exclusive Interview With President Trump https://t.co/H5VuJwy78o|10-21-2017 13:02:14
Twitter for iPhone|Subject to the receipt of further information, I will be allowing, as President, the long blocked and classified JFK FILES to be opened.|10-21-2017 12:35:05
Twitter for iPhone|I hope the Fake News Media keeps talking about Wacky Congresswoman Wilson in that she, as a representative, is killing the Democrat Party!|10-21-2017 12:07:16
Twitter for iPhone|Budget that just passed is a really big deal, especially in terms of what will be the biggest tax cut in U.S. history - MSM barely covered!|10-21-2017 11:52:56
Twitter for iPhone|Great book just out, "A Place Called Heaven," by Dr. Robert Jeffress - A wonderful man!|10-20-2017 23:52:17
Media Studio|This is a once-in-a-generation opportunity to offer historic tax relief to the American people! Join me today: https://t.co/9czcJDbmVW https://t.co/s3kXpvbYih|10-20-2017 21:10:37
Twitter for iPhone|Today, it was an honor to have @UNSecretary-General @AntonioGuterres at the @WhiteHouse. Speaking for the U.S.A., we appreciate all you do! https://t.co/Sk0Jcazzxw|10-20-2017 18:50:21
Media Studio|Thank you @GeraldoRivera @FoxandFriends. Agree! https://t.co/8cZLdAbgzw|10-20-2017 18:31:19
Twitter for iPhone|Just out report: "United Kingdom crime rises 13% annually amid spread of Radical Islamic terror." Not good, we must keep America safe!|10-20-2017 10:31:50
Twitter for iPhone|....This now allows for the passage of large scale Tax Cuts (and Reform), which will be the biggest in the history of our country!|10-20-2017 10:15:45
Twitter for iPhone|The Budget passed late last night, 51 to 49. We got ZERO Democrat votes with only Rand Paul (he will vote for Tax Cuts) voting against.....|10-20-2017 10:11:15
Twitter for iPhone|Great news on the 2018 budget @SenateMajLdr McConnell - first step toward delivering MASSIVE tax cuts for the American people! #TaxReform https://t.co/aBzQR7KR0c|10-20-2017 05:12:44
Twitter for iPhone|Big ratings getter @seanhannity and Apprentice Champion John Rich are right now going on stage in Las Vegas for #VegasStrong. Great Show!|10-20-2017 03:00:42
Twitter for iPhone|The Fake News is going crazy with wacky Congresswoman Wilson(D), who was SECRETLY on a very personal call, and gave a total lie on content!|10-20-2017 02:53:42
Media Studio|Keep up the GREAT work. I am with you 100%!"ISIS is losing its grip..."Army Colonel Ryan DillonCJTF–OIRhttps://t.co/jVGuvv5mzm https://t.co/PSCXg38CtS|10-20-2017 01:43:00
Twitter for iPhone|It was great to have Governor @RicardoRossello of #PuertoRico🇵🇷with us at the @WhiteHouse today. We are with you! #PRStrong https://t.co/Op2xDZxvNc|10-19-2017 20:40:21
Twitter for iPhone|RT @USArmy333: @804StreetMedia @realDonaldTrump He’s done more in 9 months then obama did in8 yrs|10-19-2017 12:25:19
Twitter for iPhone|.@foxandfriends "Russia sent millions to Clinton Foundation"|10-19-2017 12:21:18
Twitter for iPhone|Workers of firm involved with the discredited and Fake Dossier take the 5th. Who paid for it, Russia, the FBI or the Dems (or all)?|10-19-2017 11:56:15
Twitter for iPhone|Uranium deal to Russia, with Clinton help and Obama Administration knowledge, is the biggest story that Fake Media doesn't want to follow!|10-19-2017 11:17:52
Twitter for iPhone|Republicans are going for the big Budget approval today, first step toward massive tax cuts. I think we have the votes, but who knows?|10-19-2017 10:54:09
Twitter for iPhone|"46% of Americans think the Media is inventing stories about Trump &amp; his Administration." @FoxNews   It is actually much worse than this!|10-19-2017 03:03:29
Twitter for iPhone|.@DanaPerino &amp; @BradThor,Thank you so much for the wonderful compliment. Working hard! #MAGA https://t.co/AKWlsMsCVH|10-18-2017 23:31:54
Twitter for iPhone|"20,000📈21,000📈22,000📈 23,000📈this year...FOUR one thousand milestones this year..." #Dow23K #MAGA https://t.co/GQ5f2eVvEI|10-18-2017 22:49:42
Twitter for iPhone|This is what REAL PRIDE in our COUNTRY is all about! #USA🇺🇸 https://t.co/kyv866prdE|10-18-2017 22:19:12
Twitter for iPhone|.@NFL: Too much talk, not enough action. Stand for the National Anthem.|10-18-2017 20:42:05
Media Studio|"Iran hides behind its assertion of technical compliance w/the nuclear deal, while it brazenly violates the other limits.."Amb. @NikkiHaley https://t.co/xvHgx7d1cT|10-18-2017 19:27:26
Media Studio|It was an honor to welcome Republican and Democratic members of the Senate Finance Committee to the @WhiteHouse today. #TaxReform https://t.co/ge4Xic9fId|10-18-2017 18:20:39
Twitter for iPhone|Our hearts are with all affected by the wildfires in California. God bless our brave First Responders and @FEMA team. We support you! https://t.co/YaoPbaVI5L|10-18-2017 16:58:23
Media Studio|The current tax code is a burden on American taxpayers &amp; harmful to job-creators. Americans need #TaxReform! More: https://t.co/qXyiYiFWCO https://t.co/NGIjJOc3TP|10-18-2017 15:07:07
Twitter for iPhone|I am supportive of Lamar as a person &amp; also of the process, but I can never support bailing out ins co's who have made a fortune w/ O'Care.|10-18-2017 13:41:10
Twitter for iPhone|Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof). Sad!|10-18-2017 11:25:24
Twitter for iPhone|The NFL has decided that it will not force players to stand for the playing of our National Anthem. Total disrespect for our great country!|10-18-2017 11:06:06
Twitter for iPhone|As it has turned out, James Comey lied and leaked and totally protected Hillary Clinton. He was the best thing that ever happened to her!|10-18-2017 10:56:36
Twitter for iPhone|The Democrats will only vote for Tax Increases. Hopefully, all Senate Republicans will vote for the largest Tax Cuts in U.S. history.|10-18-2017 10:38:18
Twitter for iPhone|...people not interviewed, including Clinton herself. Comey stated under oath that he didn't do this-obviously a fix? Where is Justice Dept?|10-18-2017 10:27:29
Twitter for iPhone|Wow, FBI confirms report that James Comey drafted letter exonerating  Crooked Hillary Clinton long before investigation was complete. Many..|10-18-2017 10:21:00
Media Studio|The most important truth our FOUNDERS understood was: FREEDOM is NOT a gift from Govt. FREEDOM is a GIFT from GOD. 🎥https://t.co/rmAzGt8SuG https://t.co/SrPavwrt2R|10-18-2017 02:21:16
Media Studio|Thank you @Heritage! This is our once-in-a-generation opportunity to revitalize our economy, revive our industry &amp; renew the AMERICAN DREAM! https://t.co/HI30nojsGo|10-18-2017 00:44:43
Twitter for iPhone|WOW! https://t.co/eKfRktNVuy|10-17-2017 23:06:01
Twitter for iPhone|BORDER WALL prototypes underway! https://t.co/arFNO80zmO|10-17-2017 23:03:32
Twitter for iPhone|Any increase in ObamaCare premiums is the fault of the Democrats for giving us a "product" that never had a chance of working.|10-17-2017 21:56:08
Twitter for iPhone|So much Fake News being put in dying magazines and newspapers. Only place worse may be @NBCNews, @CBSNews, @ABC and @CNN. Fiction writers!|10-17-2017 21:51:34
Media Studio|It was my great honor to welcome Prime Minister Alexis Tsipras of Greece to the WH today! 🎥https://t.co/Bn1vM6fYW9 📸https://t.co/j0roMFT3YL https://t.co/MPe5HWFcZ1|10-17-2017 18:59:43
Twitter for iPhone|Join me LIVE from the Rose Garden at 1:30pmE with Prime Minister Alexis Tsipras of Greece. ➡️https://t.co/Bn1vM6fYW9 https://t.co/dZB4mDBKpi|10-17-2017 17:25:44
Twitter for iPhone|"Dow Passes 23,000 for the First Time, Fueled by Strong Earnings"#Dow23K📈https://t.co/wnkrddYlb9 https://t.co/wlP0NCNcou|10-17-2017 16:16:28
Twitter for iPhone|Rep.Tom Marino has informed me that he is withdrawing his name from consideration as drug czar. Tom is a fine man and a great Congressman!|10-17-2017 12:39:45
Twitter for iPhone|RT @Scavino45: U.S. MARKETS FROM ELECTION DAY {Since 11/8/2016} 📈 https://t.co/HtjHrznQKJ|10-17-2017 11:05:25
Twitter for iPhone|Always great to see the wonderful people of South Carolina. Thank you for the beautiful welcome at Greenville-Spartanburg Int'l Airport! https://t.co/maO9Nc0sTe|10-16-2017 23:32:05
Twitter for iPhone|I was recently asked if Crooked Hillary Clinton is going to run in 2020? My answer was, "I hope so!"|10-16-2017 13:12:43
Twitter for iPhone|The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also, record business enthusiasm.|10-16-2017 12:57:50
Twitter for iPhone|Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low &amp; companies are coming back to U.S.|10-16-2017 12:54:49
Twitter for iPhone|Dem Senator Schumer hated the Iran deal made by President Obama, but now that I am involved, he is OK with it. Tell that to Israel, Chuck!|10-16-2017 12:49:27
Twitter for iPhone|The Democrats only want to increase taxes and obstruct. That's all they are good at!|10-16-2017 12:21:49
Twitter for iPhone|Art Laffer just said that he doesn't know how a Democrat could vote against the big tax cut/reform bill and live with themselves!  @FoxNews|10-16-2017 12:17:10
Twitter for iPhone|RT @ABCNewsRadio: Global fund championed by Ivanka Trump to help women entrepreneurs begins operations https://t.co/jUmsY3ON4x https://t.co…|10-16-2017 00:55:02
Twitter for iPhone|RT @mike_pence: .@EdWGillespie is fighting to grow the economy &amp; cut taxes! He’s fighting for a safer VA. And he’s is fighting for affordab…|10-16-2017 00:49:41
Twitter for iPhone|...approvals of The Keystone XL &amp; Dakota Access pipelines. Also, look at the recent EPA cancelations &amp; our great new Supreme Court Justice!|10-15-2017 13:46:27
Twitter for iPhone|The Failing @nytimes, in a story by Peter Baker, should have mentioned the rapid terminations by me of TPP &amp; The Paris Accord &amp; the fast....|10-15-2017 13:25:05
Twitter for iPhone|RT @FoxNews: TONIGHT on "Justice," @JudgeJeanine talks to special guests @EricTrump and @LaraLeaTrump - Tune in at 9p ET on Fox News Channe…|10-14-2017 23:22:04
Twitter for iPhone|RT @EricTrump: .@LaraLeaTrump and I look forward to being on @JudgeJeanine tonight at 9pm! @FoxNews #MakeAmericaGreatAgain 🇺🇸🇺🇸🇺🇸 https://t…|10-14-2017 21:29:38
Twitter for iPhone|RT @mike_pence: We are heading to Virginia. Looking forward to supporting my friend @EdWGillespie. He will make a great Governor for the Co…|10-14-2017 21:28:34
Twitter for iPhone|The Democrats in the Southwest part of Virginia have been abandoned by their Party. Republican Ed Gillespie will never let you down!|10-14-2017 21:27:22
Twitter for iPhone|Very proud of my Executive Order which will allow greatly expanded access and far lower costs for HealthCare. Millions of people benefit!|10-14-2017 11:27:00
Twitter for iPhone|Health Insurance stocks, which have gone through the roof during the ObamaCare years, plunged yesterday after I ended their Dems windfall!|10-14-2017 11:18:49
